route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
D,DS,DS133,Santo Ovídio,1,,DR
D,DS,DS134,Santo Ovídio,1,,DR
D,DS,DS135,Santo Ovídio,1,,DR
D,DS,DS136,Santo Ovídio,1,,DR
D,DS,DS137,Santo Ovídio,1,,DR
D,DS,DS138,Santo Ovídio,1,,DR
D,DS,DS139,Santo Ovídio,1,,DR
D,DS,DS140,Santo Ovídio,1,,DR
D,DS,DS141,Santo Ovídio,1,,DR
D,DS,DS142,Santo Ovídio,1,,DR
D,DS,DS143,Santo Ovídio,1,,DR
D,DS,DS144,Santo Ovídio,1,,DR
D,DS,DS145,Santo Ovídio,1,,DR
D,DS,DS146,Santo Ovídio,1,,DR
D,DS,DS147,Santo Ovídio,1,,DR
D,DS,DS148,Santo Ovídio,1,,DR
D,DS,DS149,Santo Ovídio,1,,DR
D,DS,DS150,Santo Ovídio,1,,DR
D,DS,DS151,Santo Ovídio,1,,DR
D,DS,DS152,Santo Ovídio,1,,DR
D,DS,DS153,Santo Ovídio,1,,DR
D,DS,DS154,Santo Ovídio,1,,DR
D,DS,DS155,Santo Ovídio,1,,DR
D,DS,DS156,Santo Ovídio,1,,DR
D,DS,DS157,Santo Ovídio,1,,DR
D,DS,DS158,Santo Ovídio,1,,DR
D,DS,DS159,Santo Ovídio,1,,DR
D,DS,DS160,Santo Ovídio,1,,DR
D,DS,DS161,Santo Ovídio,1,,DR
D,DS,DS162,Santo Ovídio,1,,DR
D,DS,DS163,Santo Ovídio,1,,DR
D,DS,DS164,Santo Ovídio,1,,DR
D,DS,DS165,Santo Ovídio,1,,DR
D,DS,DS166,Santo Ovídio,1,,DR
D,DS,DS167,Santo Ovídio,1,,DR
D,DS,DS168,Santo Ovídio,1,,DR
D,DS,DS169,Santo Ovídio,1,,DR
D,DS,DS170,Santo Ovídio,1,,DR
D,DS,DS171,Santo Ovídio,1,,DR
D,DS,DS172,Santo Ovídio,1,,DR
D,DS,DS173,Santo Ovídio,1,,DR
D,DS,DS174,Santo Ovídio,1,,DR
D,DS,DS175,Santo Ovídio,1,,DR
D,DS,DS176,Santo Ovídio,1,,DR
D,DS,DS177,Santo Ovídio,1,,DR
D,DS,DS178,Santo Ovídio,1,,DR
D,DS,DS179,Santo Ovídio,1,,DR
D,DS,DS180,Santo Ovídio,1,,DR
D,DS,DS181,Santo Ovídio,1,,DR
D,DS,DS182,Santo Ovídio,1,,DR
D,DS,DS183,Santo Ovídio,1,,DR
D,DS,DS184,Santo Ovídio,1,,DR
D,DS,DS185,Santo Ovídio,1,,DR
D,DS,DS186,Santo Ovídio,1,,DR
D,DS,DS187,Santo Ovídio,1,,DR
D,DS,DS188,Santo Ovídio,1,,DR
